feature,tree,knn,gnb,lda
1,75.44999999999999,94.02000000000001,68.45,70.52000000000001
2,75.44999999999999,94.02000000000001,68.45,70.52000000000001
3,75.44999999999999,94.02000000000001,68.45,70.52000000000001
4,75.44999999999999,94.02000000000001,68.45,70.52000000000001
5,75.44999999999999,94.02000000000001,68.45,70.52000000000001
6,75.44999999999999,94.02000000000001,68.45,70.52000000000001
7,75.44999999999999,94.02000000000001,68.45,70.52000000000001
8,75.44999999999999,94.02000000000001,68.45,70.52000000000001
9,75.44999999999999,94.02000000000001,68.45,70.52000000000001
10,75.44999999999999,94.02000000000001,68.45,70.52000000000001
11,75.44999999999999,94.02000000000001,68.45,70.52000000000001
12,75.44999999999999,94.02000000000001,68.45,70.52000000000001
13,75.44999999999999,94.02000000000001,68.45,70.52000000000001
14,75.44999999999999,94.02000000000001,68.45,70.52000000000001
15,75.44999999999999,94.02000000000001,68.45,70.52000000000001
16,75.44999999999999,94.02000000000001,68.45,70.52000000000001
