feature,tree,knn,gnb,lda
1,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
2,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
3,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
4,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
5,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
6,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
7,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
8,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
9,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
10,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
11,3.321826784512833,1.3697462227141233,2.749918883209774,3.032757311056452
