,0
NUMB_N,1.609972979978146
P70S6_N,1.6356599719881508
pGSK3B_N,2.065527062368364
pPKCG_N,0.5198295328411455
CDK5_N,0.15285552204466635
S6_N,0.1367576708561491
ADARB1_N,0.22113824483838185
AcetylH3K9_N,0.14642345594248818
RRP1_N,0.1579093872329822
BAX_N,0.07600422035898369
ARC_N,0.0713589925760374
ERBB4_N,0.07629473442844015
nNOS_N,0.03126686839392345
Tau_N,0.12156274482041507
GFAP_N,0.025586389080699323
GluR3_N,0.0340014717769046
GluR4_N,0.016892853910647432
IL1B_N,0.05790936822761594
P3525_N,0.05443554762503533
pCASP9_N,0.13389955190538805
PSD95_N,0.0034905596721266363
SNCA_N,0.023092846672629452
Ubiquitin_N,0.08626698507313213
pGSK3B_Tyr216_N,0.08676351095668089
SHH_N,0.11428978189342587
pS6_N,0.025446127926357587
SYP_N,0.0093203312284591
CaNA_N,0.07264440127114025
Control,0.0
Ts65Dn,0.008878492350723022
Memantine,0.05427727180753017
Saline,0.0
C/S,0.015313479228941773
S/C,0.0
