feature,tree,knn,gnb,lda
1,85.08771929824562,85.08771929824562,90.98245614035088,86.91228070175438
2,88.87719298245614,88.49122807017542,91.2280701754386,89.01754385964912
3,91.26315789473685,90.42105263157893,91.64912280701756,91.2280701754386
4,92.03508771929825,91.22807017543857,92.56140350877193,93.68421052631581
5,91.9298245614035,91.33333333333331,91.78947368421053,93.92982456140352
6,91.96491228070175,91.33333333333331,91.47368421052633,93.78947368421052
7,91.6842105263158,91.29824561403507,91.26315789473685,93.75438596491229
8,91.64912280701753,91.29824561403507,90.94736842105263,93.96491228070174
9,91.40350877192982,91.36842105263156,90.7719298245614,94.28070175438594
10,91.12280701754386,91.36842105263156,90.24561403508771,94.49122807017542
11,91.2280701754386,91.40350877192981,90.00000000000001,94.52631578947368
12,91.26315789473684,91.40350877192981,89.78947368421053,94.80701754385964
13,90.63157894736841,91.40350877192981,89.78947368421053,94.84210526315789
14,91.05263157894737,91.40350877192981,89.78947368421053,94.80701754385964
15,91.08771929824562,91.40350877192981,89.78947368421053,94.7017543859649
16,90.80701754385964,91.40350877192981,89.78947368421053,94.56140350877192
17,90.42105263157893,91.40350877192981,89.7543859649123,94.38596491228068
18,90.10526315789473,91.40350877192981,89.78947368421053,94.28070175438596
19,90.52631578947367,91.40350877192981,89.78947368421053,94.35087719298244
20,89.6842105263158,91.40350877192981,89.71929824561406,94.3859649122807
21,89.89473684210526,91.40350877192981,89.71929824561404,94.35087719298244
22,89.57894736842104,91.40350877192981,89.6842105263158,94.14035087719297
23,89.6140350877193,91.40350877192981,89.75438596491229,94.2456140350877
24,89.85964912280701,91.40350877192981,89.71929824561404,94.21052631578947
25,90.3859649122807,91.40350877192981,89.75438596491229,94.31578947368422
26,89.75438596491229,91.40350877192981,89.6842105263158,94.35087719298245
27,90.24561403508771,91.40350877192981,89.33333333333334,94.14035087719299
28,90.31578947368423,91.40350877192981,89.12280701754386,94.3859649122807
29,90.10526315789473,91.40350877192981,89.33333333333334,94.56140350877192
30,90.42105263157896,91.40350877192981,89.64912280701756,94.66666666666666
