feature,tree,knn,gnb,lda
1,51.041666666666664,51.041666666666664,58.68055555555556,53.125
2,57.986111111111114,56.423611111111114,59.72222222222222,58.68055555555556
3,59.02777777777778,56.25,60.06944444444444,59.375
4,61.63194444444444,61.458333333333336,63.19444444444444,67.01388888888889
5,61.63194444444444,62.84722222222222,61.80555555555556,65.97222222222221
6,59.72222222222222,62.5,59.72222222222222,66.49305555555556
7,62.84722222222222,61.979166666666664,60.763888888888886,67.70833333333334
8,64.58333333333334,62.15277777777778,61.28472222222222,67.70833333333334
9,67.01388888888889,61.979166666666664,62.326388888888886,71.18055555555556
10,67.36111111111111,61.979166666666664,63.541666666666664,71.35416666666666
11,68.05555555555556,61.979166666666664,63.71527777777778,71.35416666666666
12,66.49305555555556,61.979166666666664,61.979166666666664,71.00694444444444
13,63.71527777777778,61.979166666666664,61.458333333333336,71.70138888888889
14,64.93055555555556,62.15277777777778,62.15277777777778,71.18055555555556
15,66.49305555555556,62.15277777777778,60.59027777777778,71.00694444444444
16,66.31944444444444,62.15277777777778,64.75694444444444,71.35416666666666
17,67.01388888888889,62.15277777777778,62.673611111111114,71.00694444444444
18,67.53472222222221,62.15277777777778,62.15277777777778,71.00694444444444
19,67.88194444444444,62.15277777777778,62.15277777777778,70.48611111111111
